latitude,longitude,dataset,unique_coordinate_id
34.26,-118.324,LAHSA,1
34.261,-118.324,LAHSA,2
34.032,-118.449,LAHSA,3
34.074,-118.224,LAHSA,4
34.229,-118.555,LAHSA,5
34.119,-118.201,LAHSA,6
34.024,-118.193,LAHSA,7
34.229,-118.556,LAHSA,8
34.064,-118.24,LAHSA,9
33.737,-118.28,LAHSA,10
34.221,-118.472,LAHSA,14
34.183,-118.471,LAHSA,15
34.201,-118.498,LAHSA,18
34.253,-118.407,LAHSA,19
34.103,-118.319,LAHSA,20
34.102,-118.317,LAHSA,21
33.994,-118.48,LAHSA,23
34.065,-118.259,LAHSA,25
33.776,-118.261,LAHSA,26
33.776,-118.26,LAHSA,27
34.202,-118.486,LAHSA,28
34.035,-118.438,LAHSA,29
33.997,-118.476,LAHSA,30
34.028,-118.452,LAHSA,31
33.736,-118.28,LAHSA,33
33.996,-118.476,LAHSA,35
34.035,-118.437,LAHSA,36
34.034,-118.438,LAHSA,37
34.217,-118.474,LAHSA,38
34.221,-118.474,LAHSA,39
33.797,-118.289,LAHSA,40
34.188,-118.37,LAHSA,41
34.217,-118.475,LAHSA,44
34.217,-118.473,LAHSA,45
34.22,-118.474,LAHSA,46
33.735,-118.28,LAHSA,48
34.251,-118.406,LAHSA,49
33.781,-118.297,LAHSA,50
34.25,-118.405,LAHSA,51
34.103,-118.312,LAHSA,53
34.052,-118.313,LAHSA,54
33.973,-118.291,LAHSA,55
34.038,-118.271,LAHSA,59
33.983,-118.308,LAHSA,64
33.995,-118.474,LAHSA,67
34.166,-118.53,LAHSA,68
34.057,-118.276,LAHSA,69
33.985,-118.308,LAHSA,70
34.221,-118.427,LAHSA,73
34.193,-118.548,LAHSA,77
34.251,-118.405,LAHSA,78
34.186,-118.534,LAHSA,79
34.221,-118.476,LAHSA,80
34.219,-118.474,LAHSA,81
34.252,-118.407,LAHSA,82
34.038,-118.28,LAHSA,83
33.989,-118.308,LAHSA,85
33.992,-118.478,LAHSA,86
34.252,-118.406,LAHSA,87
34.201,-118.431,LAHSA,88
34.253,-118.408,LAHSA,90
33.958,-118.309,LAHSA,92
34.218,-118.474,LAHSA,93
33.933,-118.243,LAHSA,94
33.932,-118.243,LAHSA,95
33.932,-118.242,LAHSA,97
34.193,-118.595,LAHSA,98
34.195,-118.591,LAHSA,100
34.201,-118.595,LAHSA,101
34.318,-118.489,LAHSA,105
34.104,-118.322,LAHSA,108
34.199,-118.597,LAHSA,109
34.097,-118.323,LAHSA,112
34.2,-118.595,LAHSA,115
34.09,-118.294,LAHSA,116
34.095,-118.326,LAHSA,117
34.238,-118.562,LAHSA,119
34.054,-118.255,LAHSA,120
34.043,-118.243,LAHSA,121
34.102,-118.322,LAHSA,126
34.201,-118.597,LAHSA,127
34.103,-118.322,LAHSA,131
34.076,-118.223,LAHSA,135
34.043,-118.31,LAHSA,136
34.101,-118.322,LAHSA,138
34.045,-118.443,LAHSA,141
33.958,-118.282,LAHSA,146
34.007,-118.28,LAHSA,150
34.019,-118.308,LAHSA,154
33.965,-118.28,LAHSA,155
34.043,-118.309,LAHSA,159
34.095,-118.291,LAHSA,160
34.039,-118.438,LAHSA,164
33.963,-118.28,LAHSA,165
34.261,-118.497,LAHSA,166
34.097,-118.345,LAHSA,167
34.097,-118.344,LAHSA,169
34.1,-118.328,LAHSA,170
34.099,-118.332,LAHSA,172
33.931,-118.265,LAHSA,176
33.93,-118.264,LAHSA,179
34.003,-118.322,LAHSA,186
34.307,-118.427,LAHSA,190
34.307,-118.428,LAHSA,191
34.236,-118.372,LAHSA,192
33.987,-118.472,LAHSA,195
34.049,-118.321,LAHSA,197
34.035,-118.324,LAHSA,199
34.153,-118.366,LAHSA,200
34.173,-118.57,LAHSA,201
33.737,-118.307,LAHSA,202
33.78,-118.299,LAHSA,203
33.93,-118.258,LAHSA,205
34.006,-118.458,LAHSA,206
34.052,-118.417,LAHSA,207
34.102,-118.294,LAHSA,208
33.941,-118.239,LAHSA,209
34.119,-118.253,LAHSA,212
34.065,-118.299,LAHSA,213
34.053,-118.278,LAHSA,214
34.075,-118.259,LAHSA,216
34.211,-118.562,LAHSA,217
34.051,-118.264,LAHSA,218
33.988,-118.472,LAHSA,221
34.081,-118.291,LAHSA,227
33.978,-118.308,LAHSA,228
34.172,-118.567,LAHSA,231
34.256,-118.393,LAHSA,232
34.052,-118.243,LAHSA,233
34.043,-118.247,LAHSA,236
34.052,-118.267,LAHSA,237
34.043,-118.242,LAHSA,239
34.041,-118.236,LAHSA,240
34.042,-118.245,LAHSA,241
34.047,-118.247,LAHSA,242
34.133,-118.208,LAHSA,244
34.044,-118.245,LAHSA,245
34.075,-118.355,LAHSA,248
34.047,-118.445,LAHSA,249
34.039,-118.244,LAHSA,250
34.027,-118.251,LAHSA,251
34.044,-118.243,LAHSA,252
34.036,-118.234,LAHSA,253
34.061,-118.27,LAHSA,254
34.173,-118.562,LAHSA,255
34.094,-118.226,LAHSA,256
34.096,-118.353,LAHSA,260
34.019,-118.273,LAHSA,262
33.999,-118.454,LAHSA,265
34.169,-118.378,LAHSA,269
34.056,-118.247,LAHSA,270
34.228,-118.473,LAHSA,272
34.051,-118.292,LAHSA,273
34.248,-118.403,LAHSA,274
34.215,-118.37,LAHSA,278
33.97,-118.291,LAHSA,283
34.049,-118.258,LAHSA,285
34.157,-118.371,LAHSA,286
34.167,-118.379,LAHSA,287
34.054,-118.272,LAHSA,288
34.033,-118.265,LAHSA,289
34.192,-118.377,LAHSA,290
34.216,-118.43,LAHSA,291
34.097,-118.335,LAHSA,292
34.006,-118.334,LAHSA,293
33.959,-118.418,LAHSA,294
34.072,-118.372,LAHSA,297
34.139,-118.366,LAHSA,301
34.061,-118.294,LAHSA,304
33.739,-118.28,LAHSA,310
34.168,-118.367,LAHSA,312
34.149,-118.377,LAHSA,313
34.058,-118.239,LAHSA,316
33.995,-118.475,LAHSA,319
33.959,-118.414,LAHSA,320
34.25,-118.523,LAHSA,323
34.18,-118.57,LAHSA,327
33.797,-118.29,LAHSA,328
34.015,-118.335,LAHSA,331
34.057,-118.238,LAHSA,334
33.747,-118.28,LAHSA,335
34.293,-118.413,LAHSA,339
33.779,-118.265,LAHSA,340
34.223,-118.448,LAHSA,341
34.075,-118.261,LAHSA,344
34.003,-118.309,LAHSA,346
34.042,-118.244,LAHSA,347
34.167,-118.377,LAHSA,348
34.055,-118.24,LAHSA,350
34.101,-118.336,LAHSA,351
33.73,-118.292,LAHSA,352
34.171,-118.475,LAHSA,353
34.054,-118.237,LAHSA,354
34.039,-118.245,LAHSA,355
34.25,-118.526,LAHSA,357
34.203,-118.448,LAHSA,361
34.204,-118.448,LAHSA,362
34.04,-118.278,LAHSA,363
34.054,-118.244,LAHSA,367
34.047,-118.252,LAHSA,368
34.012,-118.274,LAHSA,369
34.18,-118.453,LAHSA,371
34.039,-118.239,LAHSA,373
34.243,-118.422,LAHSA,375
34.064,-118.237,LAHSA,382
34.243,-118.421,LAHSA,383
34.037,-118.268,LAHSA,393
33.988,-118.475,LAHSA,399
34.007,-118.278,LAHSA,402
34.096,-118.326,LAHSA,403
34.187,-118.446,LAHSA,407
34.058,-118.238,LAHSA,408
34.044,-118.241,LAHSA,409
34.183,-118.449,LAHSA,410
33.776,-118.262,LAHSA,411
33.777,-118.253,LAHSA,414
33.99,-118.459,LAHSA,417
33.762,-118.293,LAHSA,418
34.055,-118.245,LAHSA,419
34.054,-118.253,LAHSA,420
34.007,-118.273,LAHSA,421
34.054,-118.284,LAHSA,422
34.041,-118.24,LAHSA,423
34.168,-118.365,LAHSA,424
34.036,-118.375,LAHSA,425
34.046,-118.244,LAHSA,426
34.181,-118.453,LAHSA,427
34.01,-118.335,LAHSA,428
34.04,-118.285,LAHSA,429
34.002,-118.265,LAHSA,430
33.975,-118.291,LAHSA,431
34.205,-118.42,LAHSA,432
34.039,-118.24,LAHSA,433
34.061,-118.242,LAHSA,434
34.052,-118.242,LAHSA,435
34.099,-118.325,LAHSA,436
34.096,-118.338,LAHSA,437
34.044,-118.264,LAHSA,440
34.152,-118.352,LAHSA,443
34.201,-118.409,LAHSA,452
34.193,-118.381,LAHSA,455
34.2,-118.409,LAHSA,456
34.201,-118.5,LAHSA,458
34.044,-118.244,LAHSA,460
34.04,-118.245,LAHSA,462
34.052,-118.305,LAHSA,466
34.045,-118.241,LAHSA,469
34.084,-118.36,LAHSA,470
34.074,-118.216,LAHSA,472
33.794,-118.29,LAHSA,473
34.278,-118.498,LAHSA,475
34.013,-118.279,LAHSA,477
34.198,-118.387,LAHSA,478
34.12,-118.272,LAHSA,479
34.051,-118.244,LAHSA,480
34.036,-118.31,LAHSA,481
34.15,-118.365,LAHSA,483
34.212,-118.449,LAHSA,484
34.18,-118.444,LAHSA,485
34.183,-118.377,LAHSA,490
34.042,-118.249,LAHSA,494
34.187,-118.369,LAHSA,495
33.732,-118.28,LAHSA,496
34.2,-118.431,LAHSA,497
34.159,-118.442,LAHSA,498
34.057,-118.447,LAHSA,499
34.055,-118.445,LAHSA,501
33.994,-118.479,LAHSA,504
34.152,-118.367,LAHSA,505
33.986,-118.309,LAHSA,509
34.066,-118.236,LAHSA,513
34.056,-118.206,LAHSA,515
33.986,-118.473,LAHSA,519
34.053,-118.243,LAHSA,520
34.041,-118.251,LAHSA,521
34.099,-118.336,LAHSA,522
34.228,-118.475,LAHSA,523
34.184,-118.446,LAHSA,525
34.072,-118.261,LAHSA,528
34.172,-118.562,LAHSA,529
34.041,-118.249,LAHSA,531
34.061,-118.298,LAHSA,535
33.735,-118.289,LAHSA,537
34.058,-118.211,LAHSA,538
34.061,-118.312,LAHSA,539
34.145,-118.413,LAHSA,541
34.164,-118.361,LAHSA,542
34.184,-118.45,LAHSA,544
33.793,-118.29,LAHSA,545
34.168,-118.6,LAHSA,550
34.195,-118.451,LAHSA,551
34.171,-118.57,LAHSA,552
33.737,-118.284,LAHSA,555
33.988,-118.268,LAHSA,556
34.145,-118.411,LAHSA,559
34.259,-118.315,LAHSA,561
33.93,-118.291,LAHSA,563
34.005,-118.46,LAHSA,565
34.039,-118.268,LAHSA,567
34.18,-118.445,LAHSA,568
34.054,-118.444,LAHSA,571
34.05,-118.299,LAHSA,572
33.733,-118.28,LAHSA,573
