latitude,longitude,dataset
34.26,-118.324,LAHSA
34.261,-118.324,LAHSA
34.032,-118.449,LAHSA
34.074,-118.224,LAHSA
34.229,-118.555,LAHSA
34.119,-118.201,LAHSA
34.024,-118.193,LAHSA
34.229,-118.556,LAHSA
34.064,-118.24,LAHSA
33.737,-118.28,LAHSA
33.952,-118.158,LAHSA
34.747,-118.166,LAHSA
33.963,-118.142,LAHSA
34.221,-118.472,LAHSA
34.183,-118.471,LAHSA
33.977,-118.178,LAHSA
33.976,-118.173,LAHSA
34.201,-118.498,LAHSA
34.253,-118.407,LAHSA
34.103,-118.319,LAHSA
34.102,-118.317,LAHSA
33.962,-118.14,LAHSA
33.994,-118.48,LAHSA
33.941,-118.175,LAHSA
34.065,-118.259,LAHSA
33.776,-118.261,LAHSA
33.776,-118.26,LAHSA
34.202,-118.486,LAHSA
34.035,-118.438,LAHSA
33.997,-118.476,LAHSA
34.028,-118.452,LAHSA
33.959,-118.146,LAHSA
33.736,-118.28,LAHSA
33.961,-118.143,LAHSA
33.996,-118.476,LAHSA
34.035,-118.437,LAHSA
34.034,-118.438,LAHSA
34.217,-118.474,LAHSA
34.221,-118.474,LAHSA
33.797,-118.289,LAHSA
34.188,-118.37,LAHSA
33.941,-118.174,LAHSA
33.942,-118.175,LAHSA
34.217,-118.475,LAHSA
34.217,-118.473,LAHSA
34.22,-118.474,LAHSA
33.956,-118.193,LAHSA
33.735,-118.28,LAHSA
34.251,-118.406,LAHSA
33.781,-118.297,LAHSA
34.25,-118.405,LAHSA
34.133,-117.9,LAHSA
34.103,-118.312,LAHSA
34.052,-118.313,LAHSA
33.973,-118.291,LAHSA
33.963,-118.033,LAHSA
34.126,-117.816,LAHSA
34.137,-117.938,LAHSA
34.038,-118.271,LAHSA
34.127,-117.943,LAHSA
33.951,-118.158,LAHSA
33.944,-118.164,LAHSA
34.137,-117.941,LAHSA
33.983,-118.308,LAHSA
34.103,-117.818,LAHSA
34.135,-117.944,LAHSA
33.995,-118.474,LAHSA
34.166,-118.53,LAHSA
34.057,-118.276,LAHSA
33.985,-118.308,LAHSA
33.944,-118.165,LAHSA
34.136,-117.943,LAHSA
34.221,-118.427,LAHSA
33.953,-118.229,LAHSA
33.943,-118.165,LAHSA
33.917,-118.164,LAHSA
34.193,-118.548,LAHSA
34.251,-118.405,LAHSA
34.186,-118.534,LAHSA
34.221,-118.476,LAHSA
34.219,-118.474,LAHSA
34.252,-118.407,LAHSA
34.038,-118.28,LAHSA
33.917,-118.309,LAHSA
33.989,-118.308,LAHSA
33.992,-118.478,LAHSA
34.252,-118.406,LAHSA
34.201,-118.431,LAHSA
33.942,-118.166,LAHSA
34.253,-118.408,LAHSA
33.944,-118.166,LAHSA
33.958,-118.309,LAHSA
34.218,-118.474,LAHSA
33.933,-118.243,LAHSA
33.932,-118.243,LAHSA
33.929,-118.245,LAHSA
33.932,-118.242,LAHSA
34.193,-118.595,LAHSA
34.581,-118.117,LAHSA
34.195,-118.591,LAHSA
34.201,-118.595,LAHSA
33.937,-118.002,LAHSA
34.123,-117.993,LAHSA
33.816,-118.182,LAHSA
34.318,-118.489,LAHSA
34.071,-118.001,LAHSA
33.905,-118.078,LAHSA
34.104,-118.322,LAHSA
34.199,-118.597,LAHSA
33.817,-118.174,LAHSA
34.069,-118.003,LAHSA
34.097,-118.323,LAHSA
34.049,-117.747,LAHSA
33.937,-118.343,LAHSA
34.2,-118.595,LAHSA
34.09,-118.294,LAHSA
34.095,-118.326,LAHSA
33.818,-118.175,LAHSA
34.238,-118.562,LAHSA
34.054,-118.255,LAHSA
34.043,-118.243,LAHSA
33.909,-118.074,LAHSA
34.579,-118.124,LAHSA
33.91,-118.074,LAHSA
33.962,-118.165,LAHSA
34.102,-118.322,LAHSA
34.201,-118.597,LAHSA
34.034,-117.749,LAHSA
34.026,-117.748,LAHSA
34.702,-118.133,LAHSA
34.103,-118.322,LAHSA
34.687,-118.13,LAHSA
34.582,-118.117,LAHSA
34.651,-118.147,LAHSA
34.076,-118.223,LAHSA
34.043,-118.31,LAHSA
33.956,-118.11,LAHSA
34.101,-118.322,LAHSA
34.58,-118.116,LAHSA
33.903,-118.066,LAHSA
34.045,-118.443,LAHSA
33.973,-118.032,LAHSA
33.972,-118.045,LAHSA
33.982,-118.05,LAHSA
33.937,-118.042,LAHSA
33.958,-118.282,LAHSA
33.979,-118.044,LAHSA
33.963,-118.046,LAHSA
33.98,-118.05,LAHSA
34.007,-118.28,LAHSA
33.972,-118.034,LAHSA
34.69,-118.149,LAHSA
34.06,-117.963,LAHSA
34.019,-118.308,LAHSA
33.965,-118.28,LAHSA
33.971,-118.033,LAHSA
33.98,-118.051,LAHSA
33.971,-118.032,LAHSA
34.043,-118.309,LAHSA
34.095,-118.291,LAHSA
33.979,-118.038,LAHSA
33.975,-118.047,LAHSA
34.057,-117.96,LAHSA
34.039,-118.438,LAHSA
33.963,-118.28,LAHSA
34.261,-118.497,LAHSA
34.097,-118.345,LAHSA
34.053,-118.461,LAHSA
34.097,-118.344,LAHSA
34.1,-118.328,LAHSA
33.83,-118.07,LAHSA
34.099,-118.332,LAHSA
33.831,-118.067,LAHSA
33.833,-118.067,LAHSA
33.832,-118.071,LAHSA
33.931,-118.265,LAHSA
33.831,-118.07,LAHSA
34.646,-118.136,LAHSA
33.93,-118.264,LAHSA
34.646,-118.128,LAHSA
33.83,-118.069,LAHSA
33.832,-118.073,LAHSA
33.83,-118.081,LAHSA
33.831,-118.069,LAHSA
33.883,-118.122,LAHSA
34.003,-118.322,LAHSA
43.588,-116.16,LAHSA
34.005,-118.23,LAHSA
34.005,-118.223,LAHSA
34.307,-118.427,LAHSA
34.307,-118.428,LAHSA
34.236,-118.372,LAHSA
33.831,-118.071,LAHSA
34.708,-118.134,LAHSA
33.987,-118.472,LAHSA
34.704,-118.175,LAHSA
34.049,-118.321,LAHSA
33.929,-118.239,LAHSA
34.035,-118.324,LAHSA
34.153,-118.366,LAHSA
34.173,-118.57,LAHSA
33.737,-118.307,LAHSA
33.78,-118.299,LAHSA
33.903,-118.207,LAHSA
33.93,-118.258,LAHSA
34.006,-118.458,LAHSA
34.052,-118.417,LAHSA
34.102,-118.294,LAHSA
33.941,-118.239,LAHSA
33.857,-118.353,LAHSA
33.877,-118.017,LAHSA
34.119,-118.253,LAHSA
34.065,-118.299,LAHSA
34.053,-118.278,LAHSA
33.931,-118.343,LAHSA
34.075,-118.259,LAHSA
34.211,-118.562,LAHSA
34.051,-118.264,LAHSA
34.079,-117.937,LAHSA
34.062,-118.122,LAHSA
33.988,-118.472,LAHSA
34.061,-118.12,LAHSA
33.989,-118.247,LAHSA
34.018,-118.154,LAHSA
33.895,-118.351,LAHSA
34.108,-118.057,LAHSA
34.081,-118.291,LAHSA
33.978,-118.308,LAHSA
33.83,-118.292,LAHSA
33.961,-118.033,LAHSA
34.172,-118.567,LAHSA
34.256,-118.393,LAHSA
34.052,-118.243,LAHSA
33.895,-118.192,LAHSA
34.578,-118.128,LAHSA
34.043,-118.247,LAHSA
34.052,-118.267,LAHSA
34.068,-118.028,LAHSA
34.043,-118.242,LAHSA
34.041,-118.236,LAHSA
34.042,-118.245,LAHSA
34.047,-118.247,LAHSA
33.915,-118.036,LAHSA
34.133,-118.208,LAHSA
34.044,-118.245,LAHSA
33.962,-118.23,LAHSA
34.678,-118.163,LAHSA
34.075,-118.355,LAHSA
34.047,-118.445,LAHSA
34.039,-118.244,LAHSA
34.027,-118.251,LAHSA
34.044,-118.243,LAHSA
34.036,-118.234,LAHSA
34.061,-118.27,LAHSA
34.173,-118.562,LAHSA
34.094,-118.226,LAHSA
34.675,-118.161,LAHSA
34.653,-118.129,LAHSA
34.062,-118.018,LAHSA
34.096,-118.353,LAHSA
33.877,-118.083,LAHSA
34.019,-118.273,LAHSA
33.975,-118.126,LAHSA
33.932,-118.203,LAHSA
33.999,-118.454,LAHSA
34.034,-118.151,LAHSA
33.966,-118.164,LAHSA
33.899,-118.343,LAHSA
