latitude,longitude,dataset
34.1775,-118.3822,LAPD
33.9996,-118.2915,LAPD
34.2037,-118.421,LAPD
34.22886,-118.36611,LAPD
34.2388,-118.4677,LAPD
33.9843,-118.4643,LAPD
34.1885,-118.4662,LAPD
34.0601,-118.2761,LAPD
34.0453,-118.2443,LAPD
34.0608,-118.2726,LAPD
33.9918,-118.4791,LAPD
34.1904,-118.6059,LAPD
34.1937,-118.3748,LAPD
34.016,-118.43,LAPD
34.0517,-118.2663,LAPD
34.1557,-118.4661,LAPD
34.0796,-118.2361,LAPD
33.9542453,-118.2827136,LAPD
34.0565808,-118.2583439,LAPD
34.0483207,-118.4571126,LAPD
34.0497,-118.3442,LAPD
33.9755622,-118.2826763,LAPD
34.0303596,-118.2483961,LAPD
34.0438631,-118.4575946,LAPD
34.1836385,-118.4509162,LAPD
34.0387576,-118.440337,LAPD
34.0324933,-118.4176372,LAPD
34.0569822,-118.2779117,LAPD
34.1148858,-118.2054423,LAPD
34.1014,-118.2918,LAPD
34.1992,-118.5716,LAPD
33.9383,-118.2494,LAPD
34.0701,-118.2484,LAPD
34.0579283,-118.2759085,LAPD
33.9453815,-118.4033536,LAPD
34.194,-118.3757,LAPD
34.1872,-118.4042,LAPD
34.2272,-118.5492,LAPD
34.2085,-118.3878,LAPD
34.1866,-118.6446,LAPD
34.1849,-118.3746,LAPD
34.1504,-118.3742,LAPD
34.1876,-118.6021,LAPD
34.027,-118.2051,LAPD
34.2012,-118.4052,LAPD
34.1797,-118.4014,LAPD
34.0746752,-118.2525839,LAPD
34.2066,-118.4662,LAPD
34.0417,-118.2444,LAPD
34.0549,-118.2778,LAPD
34.1475322,-118.4297002,LAPD
34.0295207,-118.3966737,LAPD
33.9926003,-118.4786785,LAPD
33.9842141,-118.2783196,LAPD
34.2651,-118.5445,LAPD
34.2646,-118.4674,LAPD
33.9806003,-118.2739525,LAPD
33.98899,-118.4755054,LAPD
34.2995084,-118.4588524,LAPD
34.1886871,-118.4465595,LAPD
34.0979877,-118.3468005,LAPD
34.0328158,-118.4482879,LAPD
33.9325,-118.2642,LAPD
34.2612,-118.4957,LAPD
34.0280029,-118.4528881,LAPD
33.7788,-118.2571,LAPD
34.0526,-118.3134,LAPD
34.1013467,-118.3312743,LAPD
34.0601079,-118.2761598,LAPD
34.0451611,-118.2666712,LAPD
34.2353,-118.4404,LAPD
34.1867,-118.3987,LAPD
34.0214,-118.2787,LAPD
34.0345,-118.451,LAPD
34.0325,-118.4176,LAPD
34.0454,-118.2465,LAPD
34.218,-118.4488,LAPD
34.2318,-118.4535,LAPD
34.2199,-118.3701,LAPD
34.1732,-118.6152,LAPD
34.0583,-118.2616,LAPD
34.3148,-118.4857,LAPD
33.9912,-118.4775,LAPD
34.0283,-118.3492,LAPD
34.0994589,-118.2894329,LAPD
34.0554,-118.2702,LAPD
34.0003,-118.4656,LAPD
34.1939,-118.3878,LAPD
34.1884734,-118.4662015,LAPD
34.0944,-118.3441,LAPD
34.0557,-118.27,LAPD
34.2174,-118.5498,LAPD
33.9932,-118.3164,LAPD
34.0579,-118.2759,LAPD
34.0591953,-118.2748368,LAPD
34.055,-118.2735,LAPD
33.741,-118.2838,LAPD
33.9765,-118.2827,LAPD
34.0561,-118.2375,LAPD
34.0095,-118.2504,LAPD
34.0539,-118.2756,LAPD
34.0987,-118.3337,LAPD
34.1973,-118.4116,LAPD
34.0454,-118.2422,LAPD
34.054,-118.4022,LAPD
34.0373,-118.2044,LAPD
34.0636,-118.2916,LAPD
34.1907,-118.4465,LAPD
33.8671,-118.2906,LAPD
34.0455,-118.2609,LAPD
34.0458,-118.4614,LAPD
34.0593,-118.275,LAPD
34.1922,-118.4009,LAPD
34.0884,-118.2258,LAPD
34.0595,-118.2749,LAPD
34.0575,-118.279,LAPD
34.2199,-118.5951,LAPD
33.9589,-118.4484,LAPD
34.0561,-118.2941,LAPD
34.0538,-118.4443,LAPD
34.0322,-118.2637,LAPD
34.206632,-118.46595,LAPD
34.1878003,-118.5960026,LAPD
34.0943,-118.3415,LAPD
34.201,-118.5797,LAPD
34.1938,-118.5911,LAPD
