latitude,longitude
34.2208,-118.5708
34.0871,-118.3386
34.0764,-118.363
34.0787,-118.2221
34.3006,-118.4603
34.1772,-118.6044
34.2,-118.5992
34.1823,-118.5365
33.9975,-118.4604
34.0868,-118.3317
34.2698,-118.4659
33.9977,-118.4764
34.0726,-118.2202
34.0618,-118.2942
33.9734,-118.2839
34.2012,-118.4182
34.0931,-118.3271
34.2066,-118.5947
34.221,-118.5689
33.9901,-118.4479
NA,NA
34.2352,-118.4583
34.0144,-118.2438
34.0733,-118.26
34.2795,-118.4564
34.0225,-118.2409
34.2089,-118.5979
34.1825,-118.3968
34.0924,-118.2918
33.9292,-118.2664
33.9907,-118.4602
34.0756,-118.2903
34.2024,-118.5329
34.189,-118.5895
34.0752,-118.2232
33.7813,-118.2549
34.0401,-118.2459
34.0583,-118.2885
34.1556,-118.4312
33.9954,-118.4745
34.1804,-118.3838
34.026,-118.3429
34.2135,-118.4487
34.201,-118.4094
34.1729,-118.5554
34.2028,-118.4483
34.0761,-118.3627
34.0553,-118.4456
34.1879,-118.4501
34.0565,-118.2388
34.0483,-118.267
33.9467,-118.3695
33.9902,-118.4613
34.1885,-118.3703
34.19,-118.5899
33.9738,-118.278
34.0554,-118.2702
34.0592,-118.2776
33.9666,-118.2839
33.7772,-118.2609
34.0083,-118.2805
34.2408,-118.3978
34.0529,-118.2834
34.0413,-118.2436
34.1938,-118.5975
34.2048,-118.5932
34.0298,-118.3969
34.1917,-118.5361
34.0028,-118.4351
34.0152,-118.2429
34.0581,-118.239
34.25,-118.6004
33.9873,-118.4653
34.1954,-118.4511
34.0554,-118.2405
33.9858,-118.4478
34.2864,-118.4113
34.0649,-118.344
34.0381,-118.3577
34.1989,-118.3715
34.0301,-118.3609
34.035,-118.3791
34.0106,-118.2827
33.9957,-118.2871
34.0548,-118.2381
34.0998,-118.3325
34.0405,-118.2745
34.0528,-118.2819
34.0319,-118.332
34.2016,-118.4305
34.067,-118.29
34.0385,-118.4377
33.9857,-118.4728
33.9428,-118.2795
34.0548,-118.2409
33.7369,-118.2805
34.1119,-118.2447
34.1664,-118.6189
34.0352,-118.4351
33.9293,-118.2391
34.0123,-118.3375
34.1833,-118.3844
34.2617,-118.3998
34.2203,-118.5798
34.0573,-118.4425
34.2084,-118.5361
34.2643,-118.4976
34.0818,-118.3257
34.04,-118.3101
34.1724,-118.5308
34.0279,-118.2523
34.0793,-118.2599
34.0582,-118.2396
34.1903,-118.38720000000001
34.2238,-118.3839
34.2597,-118.3079
33.9849,-118.2733
