first,add_cross
0,1
5,
10,
72,
100,
101,1
110,
121,
131,
150,
200,
211,
300,
320,
330,
333,
400,
401,
464,
469,
500,
501,
555,
566,
600,
625,
631,
700,
800,
900,
940,
971,
1000,
1043,
1100,
1115,
1200,
1250,
1300,
1400,
1410,
1445,
1500,
1509,
1600,
1676,
1700,
1761,
1800,
1900,
1906,
2000,
2100,
2200,
2300,
2400,
2500,
2600,
2620,
2700,
2800,
2900,
3000,
3100,
3111,
3300,
3400,
3500,
3600,
3614,
3700,
3800,
3900,
4000,
4040,
4100,
4200,
4300,
4305,
4310,
4395,
4400,
4500,
4569,
4600,
4700,
4800,
4900,
5000,
5100,
5200,
5300,
5376,
5400,
5500,
5600,
5700,
5800,
5900,
6000,
6100,
6200,
6300,
6400,
6500,
6600,
6700,
6800,
6900,
7000,
7100,
7200,
7210,
7300,
7400,
7500,
7600,
7700,
7800,
7900,
8000,
8100,
8200,
8300,
8400,
8500,
8600,
8700,
8800,
8900,
9000,
9100,
9200,
9209,
9300,
9400,
9500,
9565,
9600,
9900,
10100,
10200,
10300,
10500,
10600,
10700,
10800,
10900,
11000,
11100,
11200,
11300,
11301,
11500,
11600,
11700,
11800,
11900,
12000,
12100,
12200,
12300,
12500,
12600,
12700,
12800,
12900,
13000,
13100,
13200,
13300,
13400,
13500,
13600,
13700,
13777,
13800,
13900,
14000,
14100,
14200,
14300,
14400,
14500,
14600,
14700,
14800,
14900,
15000,
15100,
15300,
15400,
15500,
15900,
15901,
16000,
16200,
16400,
16700,
16800,
17200,
17300,
17695,
17700,
18200,
18300,
18400,
18700,
18900,
19000,
19100,
19200,
19300,
19400,
19500,
19800,
19900,
20100,
20200,
20300,
20400,
20500,
20900,
21000,
21100,
21200,
21300,
21400,
21500,
21600,
21700,
21800,
21900,
22010,
22100,
22300,
22400,
22600,
22800,
22900,
23000,
23100,
23200,
23740,
23800,
24519,
24840,
24900,
28000,
101ST,1
102ND,1
103RD,1
104TH,1
105TH,1
106TH,1
107TH,1
109TH,1
10TH,1
110TH,1
113TH,1
114TH,1
115TH,1
11TH,1
120TH,1
12TH,1
13TH,1
14TH,1
15TH,1
162ND,1
17TH,1
18TH,1
19TH,1
1ST,1
204TH,1
20TH,1
22ND,1
23RD,1
24TH,1
253RD,1
259TH,1
25TH,1
27TH,1
29TH,1
2ND,1
30TH,1
33RD,1
35TH,1
36TH,1
39TH,1
3RD,1
40TH,1
41ST,1
42ND,1
43RD,1
45TH,1
46TH,1
48TH,1
49TH,1
4TH,1
50TH,1
51ST,1
52ND,1
53RD,1
54TH,1
55TH,1
57TH,1
59TH,1
5TH,1
60FWY,1
60TH,1
61ST,1
62ND,1
64TH,1
65TH,1
66TH,1
67TH,1
68TH,1
69TH,1
