first,paste_cross
ABH,
0,
5965,
Venice,1
Wilmington,1
Grand,1
San,1
S,1
Sunset,1
Wilshire,1
Selma,1
3rd,1
W,1
5th,1
6th,1
7th,1
Imperial,1
14333,
Ave,1
Lankershim,1
Los,1
7600,
Beacon,1
13160,
Beverly,1
200,
Ocean,1
7621,
1819,
4th,1
N,1
El,1
Coldwater,1
Main,1
2817,
10th,1
Crocker,1
1800,
Towne,1
310,
F,1
Highland,1
Rose,1
Sepulveda,1
La,1
Flower,1
Vineland,1
501,
E,1
14th,1
1701,
10945,
Moorpark,1
711,
9723,
317,
11471,
16940,
Cahuenga,1
525,
5629,
Hampton,1
Pico,1
401,
Vanowen,1
5567,
Laurel,1
Parthenia,1
spring,1
859,
1899,
Spring,1
400,
Olympic,1
6099,
88th,1
1799,
4395,
1601,
1636,
9100,
Broadway,1
12966,
Cotner,1
SELMA,1
6499,
11476,
52nd,1
500,
10470,
Hope,1
600,
7166,
9701,
11430,
Civic,1
7135,
39th,1
Nordhoff,1
Vermont,1
630,
1600,
7755,
8300,
Bradley,1
Washington,1
100,
Mac,1
Military,1
Stanford,1
101,
1432,
9800,
1st,1
Lomita,1
selma,1
Wall,1
16200,
Lexington,1
625,
14800,
51st,1
300,
1500,
1809,
2311,
3721,
7250,
8048,
12898,
Alvarado,1
Silver,1
130,
5300,
6300,
16730,
Rinaldi,1
VENICE,1
1000,
2900,
10671,
10835,
11839,
16450,
Sherman,1
121,
8800,
11100,
15716,
54th,1
Devonshire,1
Humboldt,1
Radford,1
350,
900,
1350,
1426,
12400,
33rd,1
49th,1
Avenue,1
957,
1831,
2551,
11256,
13244,
13255,
Alhambra,1
OHS,1
Riverside,1
Santa,1
1150,
1206,
5123,
7900,
Carlos,1
140,
201,
1820,
1920,
5019,
12910,
16045,
21717,
Figueroa,1
Schrader,1
411,
1111,
6140,
7474,
16251,
21500,
43rd,1
59th,1
8th,1
Glendale,1
Veteran,1
Western,1
1615,
11201,
12216,
13900,
Plummer,1
WILSHIRE,1
136,
1017,
1300,
1501,
2200,
2400,
4920,
8334,
9111,
14535,
38th,1
40th,1
Barranca,1
Exposition,1
Hollywood,1
Oxnard,1
Park,1
Van,1
817,
3062,
10640,
11133,
12201,
14201,
15611,
28th,1
Cesar,1
Gage,1
Hoover,1
Vine,1
102,
323,
456,
700,
1533,
3700,
4700,
4739,
4800,
6700,
7101,
7301,
8311,
8822,
9700,
10319,
11755,
12780,
14537,
18424,
16th,1
Broad,1
Gower,1
Juanita,1
MacArthur,1
326,
589,
646,
1214,
1400,
1700,
6874,
7140,
7241,
8601,
10833,
13593,
14407,
14801,
17th,1
Lincoln,1
Melrose,1
Slauson,1
SUNSET,1
1201,
1415,
1900,
2247,
2642,
7651,
7744,
7951,
10501,
11156,
11541,
15319,
Bonnie,1
Corbin,1
Gault,1
McCadden,1
Sycamore,1
152,
905,
1013,
1710,
1750,
4503,
4855,
6500,
6850,
7323,
7330,
7815,
9925,
14400,
16230,
Bagley,1
Centinela,1
Ivar,1
Manhattan,1
Parkview,1
St,1
760,
3201,
3233,
8701,
8910,
10901,
13500,
47th,1
Burbank,1
Las,1
MCCADDEN,1
Tujunga,1
wilshire,1
110,
301,
316,
550,
1200,
1240,
1425,
2300,
3021,
5385,
7310,
7433,
7709,
12961,
13116,
18425,
22606,
31st,1
Hayvenhurst,1
Paloma,1
351,
633,
1561,
2310,
2610,
3100,
4500,
4509,
5001,
6002,
9960,
12085,
12612,
15th,1
18th,1
Aetna,1
Gamble,1
LA,1
Lodi,1
Maple,1
Pacific,1
Remick,1
Saticoy,1
Stanford/Gladys,1
1,
123,
420,
520,
1512,
2500,
2770,
3214,
5900,
6101,
6740,
7100,
7300,
12241,
12950,
13533,
14300,
14402,
12th,1
35th,1
41st,1
45th,1
Franklin,1
HIGHLAND,1
Jefferson,1
Reseda,1
sunset,1
Yucca,1
333,
643,
839,
935,
943,
1122,
1524,
1630,
7040,
7919,
9600,
10799,
11446,
13864,
14868,
15227,
16599,
Deering,1
Ethel,1
River,1
Sawtelle,1
Verdugo,1
Victory,1
128,
153,
325,
452,
650,
651,
654,
731,
1925,
2520,
2600,
3416,
5401,
7441,
7771,
7789,
8115,
9122,
9156,
9207,
9300,
9420,
10600,
10601,
11811,
12214,
14500,
17900,
19325,
23rd,1
COLDWATER,1
Jordan,1
Lyman,1
Magnolia,1
St.,1
Ventura,1
Westmoreland,1
340,
412,
535,
751,
911,
1401,
1811,
1926,
2010,
2301,
2765,
2800,
3118,
3207,
3479,
