full_service_name,service_grouped,Attained,housing_type
Transportation - Direct Transportation,Direct transportation,,
Appointments - Attended with Client,Referral to other services/program,,
Appointments - Case Consultation Follow-Up,Referral to other services/program,,
Appointments - Schedule for/or with Client,Referral to other services/program,,
Basic and Hygiene Items - Clothing,Basic and/or hygiene items,,
Basic and Hygiene Items - Electric/Outdoor Supplies/Misc,Basic and/or hygiene items,,
Basic and Hygiene Items - Gift Card,Basic and/or hygiene items,,
Basic and Hygiene Items - Hygiene Kit,Basic and/or hygiene items,,
Basic and Hygiene Items - Narcan/Nalaxone,Basic and/or hygiene items,,
Basic and Hygiene Items - Sleeping Bag,Basic and/or hygiene items,,
Basic and Hygiene Items - Tent,Basic and/or hygiene items,,
Benefit Assistance - Benefit Assistance,Benefits/documents assistance,,
Benefits Assistance  - Benefits Assistance,Benefits/documents assistance,,
Food and Drink Items - Bottled Water,Bottled water,,
Contact - Worker unable to determine,Contact,,
"Contact - Not Staying on Streets, ES, or SH","Contact - Not staying on streets, ES, or SH",,
"Contact - Not staying on Streets, ES, or SH","Contact - Not staying on streets, ES, or SH",,
"Contact - Staying on Streets, ES or SH","Contact - Staying on streets, ES, or SH",,
"Contact - Staying on Streets, ES, or SH","Contact - Staying on streets, ES, or SH",,
Basic and Hygiene Items - COVID PPE,COVID PPE/education/tools/support,,
COVID Shelter In Place Support - COVID Shelter In Place Support,COVID PPE/education/tools/support,,
COVID SMS Tool - COVID SMS Tool,COVID PPE/education/tools/support,,
COVID Testing - COVID Testing,COVID PPE/education/tools/support,,
COVID Testing Support - COVID Testing Support,COVID PPE/education/tools/support,,
COVID Testing/Vaccine Follow-Up - COVID Testing/Vaccine Follow-Up,COVID PPE/education/tools/support,,
COVID Triage Tool - COVID Triage Tool,COVID PPE/education/tools/support,,
COVID Vaccine Support - COVID Vaccine Support,COVID PPE/education/tools/support,,
Services Information/Brochures - COVID Education,COVID PPE/education/tools/support,,
Document Assistance - Benefits/Income Verification,Benefits/documents assistance,,
Document Assistance - Birth Certificate,Benefits/documents assistance,,
Document Assistance - Court Documents,Benefits/documents assistance,,
Document Assistance - DD214,Benefits/documents assistance,,
Document Assistance - Homeless Verification,Benefits/documents assistance,,
Document Assistance - ID/Driver's License,Benefits/documents assistance,,
Document Assistance - Other,Benefits/documents assistance,,
Document Assistance - Permanent Resident Card,Benefits/documents assistance,,
Document Assistance - Social Security Card,Benefits/documents assistance,,
Document Assistance - Verification of Disability,Benefits/documents assistance,,
Emergency Response - Emergency Reponse,Physical/mental health or substance use support or services referral,,
Family Reunification - Family Reunification,Referral to other services/program,,
Family Reunification - Travel Assistance,Referral to other services/program,,
Food and Drink Items - Food,Food/food card,,
Food and Drink Items - Food and Drink Items,Food/food card,,
Food and Drink Items - Food Gift Card,Food/food card,,
Food and Drink Items - Meal Card,Food/food card,,
Housing and Services Plan - Housing and Services Plan,Referral to other services/program,,
Housing Search and Placement - Housing Search and Placement,Referral to other services/program,,
Mental Health - Mental Health,Physical/mental health or substance use support or services referral,,
Mental Health - Mental Health Clinical Services,Physical/mental health or substance use support or services referral,,
Mental Health - Mental Health Supportive Services,Physical/mental health or substance use support or services referral,,
Missing Client Search - Missing Client Search,Referral to other services/program,,
Motel/Hotel Vouchers - Motel/Hotel Vouchers,Housing referral,Not attained or unknown,Motel voucher
Other - Other,Other,,
Pet Support - Emotional Support/Service Animal Certification,Referral to other services/program,,
Pet Support - Pet Support,Referral to other services/program,,
Physical Health - Physical Health,Physical/mental health or substance use support or services referral,,
Physical Health - Physical Health Provider,Physical/mental health or substance use support or services referral,,
Physical Health - Physical Health Provider r,Physical/mental health or substance use support or services referral,,
Physical Health - Physical Health Support,Physical/mental health or substance use support or services referral,,
Referral - 211 - Attained,Referral to other services/program,Attained,
Referral - 211 - Not Attained,Referral to other services/program,Not attained or unknown,
Referral - 211 - Referral Made,Referral to other services/program,Not attained or unknown,
Referral - Access Center - Attained,Referral to other services/program,Attained,
Referral - Access Center - Follow-Up,Referral to other services/program,Not attained or unknown,
Referral - Access Center - Not Attained,Referral to other services/program,Not attained or unknown,
Referral - Access Center - Referral Made,Referral to other services/program,Not attained or unknown,
Referral - Alcohol and Drug Abuse Services - Attained,Physical/mental health or substance use support or services referral,Attained,
Referral - Alcohol and Drug Abuse Services - Not Attained,Physical/mental health or substance use support or services referral,Not attained or unknown,
Referral - Alcohol and Drug Abuse Services - Referral Made,Physical/mental health or substance use support or services referral,Not attained or unknown,
Referral - Alcohol and Drug Abuse Services - Referral made,Physical/mental health or substance use support or services referral,Not attained or unknown,
Referral - Benefits - Attained,Benefits/documents assistance,Attained,
Referral - Benefits - Not Attained,Benefits/documents assistance,Not attained or unknown,
Referral - Benefits - Referral Made,Benefits/documents assistance,Not attained or unknown,
Referral - Board and Care/Skilled Nursing - Attained,Physical/mental health or substance use support or services referral,Attained,
Referral - Board and Care/Skilled Nursing - Follow-Up,Physical/mental health or substance use support or services referral,Not attained or unknown,
Referral - Board and Care/Skilled Nursing - Not Attained,Physical/mental health or substance use support or services referral,Not attained or unknown,
Referral - Board and Care/Skilled Nursing - Referral Made,Physical/mental health or substance use support or services referral,Not attained or unknown,
Referral - Bridge Housing - Attained,Housing referral,Attained,A Bridge Home
Referral - Bridge Housing - Not Attained,Housing referral,Not attained or unknown,A Bridge Home
