address_to_geocode,latitude,longitude,source,to_check,location_type,formatted_address,types
8800 SUNLAND BL,34.22886,-118.36611,geocoding,NO,ROOFTOP,"8800 Sunland Blvd, Sun Valley, CA 91352, USA",['street_address']
"91ST ST and FIGUEROA, Los Angeles",33.9542453,-118.2827136,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 91st St, Los Angeles, CA 90044, USA",['intersection']
1200 W 3RD ST,34.0565808,-118.2583439,geocoding,NO,ROOFTOP,"1200 W 3rd St, Los Angeles, CA 90017, USA",['street_address']
"TEXAS and FEDERAL, Los Angeles",34.0483207,-118.4571126,geocoding,NO,GEOMETRIC_CENTER,"Texas Ave & Federal Ave, Los Angeles, CA 90025, USA",intersection
"71ST ST and FIGUEROA, Los Angeles",33.9755622,-118.2826763,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 71st St, Los Angeles, CA 90044, USA",['intersection']
"PALOMA and PICO, Los Angeles",34.0303596,-118.2483961,geocoding,NO,GEOMETRIC_CENTER,"Paloma St & E Pico Blvd, Los Angeles, CA 90021, USA",intersection
"OHIO and STONER, Los Angeles",34.0438631,-118.4575946,geocoding,NO,GEOMETRIC_CENTER,"Ohio Ave & Stoner Ave, Los Angeles, CA 90025, USA",intersection
14600 ERWIN ST,34.1836385,-118.4509162,geocoding,NO,RANGE_INTERPOLATED,"14600 Erwin St, Van Nuys, CA 91411, USA",['street_address']
"BELOIT and OLYMPIC, Los Angeles",34.0387576,-118.440337,geocoding,NO,GEOMETRIC_CENTER,"W Olympic Blvd & Beloit Ave, Los Angeles, CA 90025, USA",['intersection']
"OVERLAND AV and NATIONAL BL, Los Angeles",34.0324933,-118.4176372,geocoding,NO,GEOMETRIC_CENTER,"National Blvd & Overland Ave, Los Angeles, CA 90064, USA",['intersection']
"7TH ST and LAKE ST, Los Angeles",34.0569822,-118.2779117,geocoding,NO,GEOMETRIC_CENTER,"S Lake St & 7th St, Los Angeles, CA 90057, USA",['intersection']
"AVENUE 51 and MIRIAM, Los Angeles",34.1148858,-118.2054423,geocoding,NO,GEOMETRIC_CENTER,"N Ave 51 & Miriam St, Los Angeles, CA 90042, USA",intersection
"WILSHIRE BL and ALVARADO, Los Angeles",34.0579283,-118.2759085,geocoding,NO,GEOMETRIC_CENTER,"Wilshire Blvd & S Alvarado St, Los Angeles, CA 90057, USA",['intersection']
200 WORLD WY,33.9453815,-118.4033536,geocoding,NO,ROOFTOP,"200 World Way, Los Angeles, CA 90045, USA",['street_address']
"SUNSET and QUINTERO, Los Angeles",34.0746752,-118.2525839,geocoding,NO,GEOMETRIC_CENTER,"Sunset Blvd & Quintero St, Los Angeles, CA 90026, USA",['intersection']
"WILSHIRE and ALVARADO, Los Angeles",34.0579283,-118.2759085,geocoding,NO,GEOMETRIC_CENTER,"Wilshire Blvd & S Alvarado St, Los Angeles, CA 90057, USA",['intersection']
13600 VENTURA BL,34.1475322,-118.4297002,geocoding,NO,ROOFTOP,"13600 Ventura Blvd, Sherman Oaks, CA 91423, USA",['premise']
"HARLOW and BAGLEY, Los Angeles",34.0295207,-118.3966737,geocoding,NO,GEOMETRIC_CENTER,"Harlow Ave & Bagley Ave, Los Angeles, CA 90034, USA",intersection
"OCEAN FRONT WK and SUNSET, Los Angeles",33.9926003,-118.4786785,geocoding,NO,GEOMETRIC_CENTER,"Sunset Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",['intersection']
"61ST ST and BROADWAY, Los Angeles",33.9842141,-118.2783196,geocoding,NO,GEOMETRIC_CENTER,"W 61st St & S Broadway, Los Angeles, CA 90003, USA",intersection
"65TH ST and MAIN ST, Los Angeles",33.9806003,-118.2739525,geocoding,NO,GEOMETRIC_CENTER,"W 65th St & S Main St, Los Angeles, CA 90003, USA",['intersection']
"OCEAN FRONT WK and CLUBHOUSE, Los Angeles",33.98899,-118.4755054,geocoding,NO,GEOMETRIC_CENTER,"Clubhouse Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",['intersection']
"POLK ST and SAN FERNANDO RD, Los Angeles",34.2995084,-118.4588524,geocoding,NO,GEOMETRIC_CENTER,"San Fernando Rd & Polk St, Los Angeles, CA 91342, USA",['intersection']
"HAMLIN ST and SYLMAR AV, Los Angeles",34.1886871,-118.4465595,geocoding,NO,GEOMETRIC_CENTER,"Sylmar Ave & Hamlin St, Los Angeles, CA 91401, USA",['intersection']
"SUNSET and FORMOSA, Los Angeles",34.0979877,-118.3468005,geocoding,NO,GEOMETRIC_CENTER,"Sunset Blvd & N Formosa Ave, Los Angeles, CA 90046, USA",['intersection']
"EXPOSITION and STONER, Los Angeles",34.0328158,-118.4482879,geocoding,NO,GEOMETRIC_CENTER,"Exposition Blvd & Stoner Ave, Los Angeles, CA 90064, USA",intersection
"CENTINELA and PICO, Los Angeles",34.0280029,-118.4528881,geocoding,NO,GEOMETRIC_CENTER,"W Pico Blvd & S Centinela Ave, Santa Monica, CA 90064, USA",['intersection']
"I ST and MCDONALD, Los Angeles",-15.8124146,-15.8124146,geocoding,YES,GEOMETRIC_CENTER,"Av. Los Ángeles, Puno 21001, Peru",route
6500 HOLLYWOOD BL,34.1013467,-118.3312743,geocoding,NO,ROOFTOP,"6500 Hollywood Blvd, Los Angeles, CA 90028, USA",['street_address']
2200 W 6TH ST,34.0601079,-118.2761598,geocoding,NO,RANGE_INTERPOLATED,"2200 W 6th St, Los Angeles, CA 90057, USA",['street_address']
900 W OLYMPIC BL,34.0451611,-118.2666712,geocoding,NO,ROOFTOP,"900 W Olympic Blvd, Los Angeles, CA 90015, USA",['street_address']
4600 HOLLYWOOD BL,34.0994589,-118.2894329,geocoding,NO,ROOFTOP,"4600 Hollywood Blvd, Los Angeles, CA 90027, USA",['premise']
"HAYNES ST and SEPULVEDA BL, Los Angeles",34.1884734,-118.4662015,geocoding,NO,GEOMETRIC_CENTER,"Haynes St & Sepulveda Blvd, Los Angeles, CA 91411, USA",['intersection']
600 S ALVARADO ST,34.0591953,-118.2748368,geocoding,NO,ROOFTOP,"600 S Alvarado St, Los Angeles, CA 90057, USA",['premise']
"SEPULVEDA BL and COHASSET, Los Angeles",34.206632,-118.46595,geocoding,NO,GEOMETRIC_CENTER,"N Sepulveda Blvd & Cohasset St, Los Angeles, CA 91405, USA",['intersection']
21300 VICTORY BL,34.1878003,-118.5960026,geocoding,NO,ROOFTOP,"21300 Victory Blvd, Woodland Hills, CA 91367, USA",['premise']
300 S ALVARADO ST,34.062615,-118.272445,geocoding,NO,ROOFTOP,"300 S Alvarado St, Los Angeles, CA 90057, USA",['street_address']
"SEPULVEDA BL and WYANDOTTE, Los Angeles",34.2030088,-118.466213,geocoding,NO,GEOMETRIC_CENTER,"Wyandotte St & Sepulveda Blvd, Los Angeles, CA 91405, USA",['intersection']
9200 RESEDA BL,34.2376199,-118.5354297,geocoding,NO,ROOFTOP,"9200 Reseda Blvd, Northridge, CA 91324, USA",['premise']
1500 W FLORENCE AV,33.9743114,-118.3026004,geocoding,NO,ROOFTOP,"1500 W Florence Ave, Los Angeles, CA 90047, USA",['premise']
"OCEAN FRONT WK and PARK, Los Angeles",33.7572199,-118.1407504,geocoding,NO,GEOMETRIC_CENTER,"E Ocean Blvd & Park Ave, Long Beach, CA 90803, USA",intersection
"HOLLYWOOD BL and CHEROKEE, Los Angeles",34.1015843,-118.3347598,geocoding,NO,GEOMETRIC_CENTER,"Hollywood Blvd & N Cherokee Ave, Los Angeles, CA 90028, USA",['intersection']
6000 HOLLYWOOD BL,34.1013645,-118.3208465,geocoding,NO,ROOFTOP,"6000 Hollywood Blvd, Los Angeles, CA 90028, USA",['subpremise']
2700 W 54TH ST,33.9929927,-118.3227944,geocoding,NO,ROOFTOP,"2700 W 54th St, Los Angeles, CA 90043, USA",street_address
"SHERMAN WY and VARIEL, Los Angeles",34.2009923,-118.5928554,geocoding,NO,GEOMETRIC_CENTER,"Sherman Way & Variel Ave, Los Angeles, CA 91303, USA",['intersection']
5500 S BROADWAY,39.6166023,-104.9872608,geocoding,NO,ROOFTOP,"5500 S Broadway, Littleton, CO 80121, USA",premise
7400 TUJUNGA AV,34.2050264,-118.3785867,geocoding,NO,ROOFTOP,"7400 Tujunga Ave, Sun Valley, CA 91352, USA",['premise']
