address_geo,count,perc,cumperc,geocode_yes,latitude,longitude,,
1029 S Beacon Los Angeles 90015,1,2.48E-04,0.361496531,1,33.734549,-118.280495,,
7th through 13th and Beacon  ST Los Angeles 90731,1,2.48E-04,0.576313181,1,33.735114,-118.280468,,
Beacon and 7th  ST Los Angeles 90731,5,0.00123885,0.054261645,1,33.73782,-118.2804,,
Beacon / 7th and Los Angeles 90731,1,2.48E-04,0.619177403,,33.73782,-118.2804,,
Beacon and 7th Los Angeles 90732,1,2.48E-04,0.619920714,,33.73782,-118.2804,,
Beacon and 7th ST Los Angeles 90017,1,2.48E-04,0.620168484,,33.73782,-118.2804,,
Beacon and N 7th  ST Los Angeles 90731,1,2.48E-04,0.620911794,,33.73782,-118.2804,,
"Vermont Ave., W. 253rd St., W.255th St., and Lomita  BLVD Los Angeles 90710",1,2.48E-04,0.916749257,1,33.794689,-118.290877,,
McCoy Ave/ West 253rd St and Lomita  BLVD Los Angeles 90710,2,4.96E-04,0.246778989,,33.797663,-118.289994,,
Lomita Blvd / McCoy Los Angeles 90710,1,2.48E-04,0.783696729,,33.797663,-118.289994,,
McCoy and Lomita  Los Angeles 90710,1,2.48E-04,0.808969277,,33.797663,-118.289994,,
McCoy and Lomita  ST Los Angeles,1,2.48E-04,0.809217047,,33.797663,-118.289994,,
McCoy St. and Lomita  BLVD Los Angeles 90710,1,2.48E-04,0.808721506,,33.797663,-118.289994,,
110 Fwy and Alondra BLVD Los Angeles 90247,1,2.48E-04,0.376610505,1,33.885359,-118.285436,,
"Harbor Fwy Overpass, Unknown and Alondra BLVD Los Angeles 90247",1,2.48E-04,0.748017839,1,33.885435,-118.285459,,
110 Freeway underpass and Redondo Beach BLVD Los Angeles 90248,1,2.48E-04,0.374628345,1,33.892659,-118.285699,,
Main St. and 117th  ST Los Angeles 90061,1,2.48E-04,0.797571853,1,33.92733,-118.273871,,
Broadway / 117th Street and Los Angeles 90061,2,4.96E-04,0.224479683,1,33.92738,-118.27813,,
Broadway / 117th Street and Los Angeles 90059,1,2.48E-04,0.633548067,1,33.92738,-118.27813,,
Broadway / Main and 117th Street Los Angeles 90061,1,2.48E-04,0.633795837,1,33.927395,-118.27607,,
105 Freeway upderpass and Main  ST Los Angeles 90059,1,2.48E-04,0.362487611,1,33.928012,-118.273923,,
Hoover and 116th PL Los Angeles 90044,1,2.48E-04,0.755698712,1,33.928084,-118.286941,,
Vermont Ave / 106th Street and Los Angeles 90044,1,2.48E-04,0.916501487,1,33.928113,-118.291584,,
105 HWY underpass and Wilmington  AVE Los Angeles,1,2.48E-04,0.362735382,1,33.928324,-118.239136,,
Imperial Hwy Underpass and Wilmington  AVE Los Angeles,3,7.43E-04,0.14222002,1,33.929376,-118.238992,,
Imperial & Wilmington and Imperial HWY Los Angeles 90062,1,2.48E-04,0.763379584,1,33.929376,-118.238992,,
Imperial Ave and Wilmington  AVE Los Angeles,1,2.48E-04,0.763627354,1,33.929376,-118.238992,,
