arrest_type_code,charge,charge_description,charge_group_code,count,HRW_charge,perc_change_group
M,11364(A)HS,POSS DEVICE/INSTRUMT/PARAPHERNALIA,Narcotic Drug Laws,3203,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364HS,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,NA,2284,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1AHS,POSS OPIUM PIPE/DRUG PARPHERNALIA,Narcotic Drug Laws,229,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1HS,NA,NA,219,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364H&S,NA,NA,141,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)H&S,NA,NA,128,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364AHS,NA,NA,113,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(A)H,NA,NA,84,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(1)HS,POSS SPECIF CONT SUBS PARAPHERNALIA,Narcotic Drug Laws,56,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364,NA,NA,54,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1H&S,NA,NA,47,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,4140BP,SELL/FURN/ETC SYRINGE/NEEDLE W/O PERMIT,NA,43,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 HS,NA,NA,18,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 H&S,NA,NA,17,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(H&S),NA,NA,15,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364(A)HS,NA,NA,14,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1 H&S,NA,NA,12,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1A1HS,POSS CONTROLLED SUBSTANCE PARAPHENALIA,Narcotic Drug Laws,12,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1 HS,NA,NA,11,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364HS,NA,Narcotic Drug Laws,11,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(A),NA,NA,10,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364HS,NA,NA,10,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A),NA,NA,9,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1,NA,NA,8,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364A,NA,NA,8,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,4149BP,UNAUTHORIZED POSSESSION OF SYRINGE/NEEDLE,NA,7,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364.1HS,NA,NA,6,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)1HS,POSSESSION/CONT SUBSTANCE PARAPHERNALIA,Narcotic Drug Laws,6,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(HS),NA,NA,6,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.5DHS,DRUG PARAPHENALIA/HYPE SYRINGE MNR PRSON,Narcotic Drug Laws,5,Drug paraphernalia,Drug/paraphenelia use/possession charge
